Arquivo,Descrição
demos/nxp/lpc54018iotmodule/common,1 
demos/nxp/lpc54018iotmodule/common/application_code,1 
demos/nxp/lpc54018iotmodule/common/application_code/main.c,1 
demos/common/ota/bootloader,1 
demos/common/ota/bootloader/crypto,1 
demos/common/ota/bootloader/crypto/tinycrypt,1 
demos/common/ota/bootloader/crypto/tinycrypt/asn1utility.c,1 
demos/common/ota/bootloader/crypto/tinycrypt/aws_boot_crypto.c,1 
demos/common/ota/bootloader/flash,1 
demos/common/ota/bootloader/flash/portable,1 
demos/common/ota/bootloader/flash/portable/microchip,1 
demos/common/ota/bootloader/flash/portable/microchip/curiosity_pic32mzef,1 
demos/common/ota/bootloader/flash/portable/microchip/curiosity_pic32mzef/aws_boot_flash.c,1 
demos/common/ota/bootloader/flash/portable/microchip/curiosity_pic32mzef/aws_boot_nvm.c,1 
demos/common/ota/bootloader/flash/portable/microchip/curiosity_pic32mzef/aws_boot_partition.c,1 
demos/common/ota/bootloader/loader,1 
demos/common/ota/bootloader/loader/aws_boot_loader.c,1 
demos/common/ota/bootloader/loader/portable,1 
demos/common/ota/bootloader/loader/portable/microchip,1 
demos/common/ota/bootloader/loader/portable/microchip/curiosity_pic32mzef,1 
demos/common/ota/bootloader/loader/portable/microchip/curiosity_pic32mzef/aws_boot_pal.c,1 
lib/FreeRTOS-Plus-TCP,7 
lib/FreeRTOS-Plus-TCP/source,7 
lib/FreeRTOS-Plus-TCP/source/FreeRTOS_ARP.c,1 
lib/FreeRTOS-Plus-TCP/source/FreeRTOS_DHCP.c,3 
lib/FreeRTOS-Plus-TCP/source/FreeRTOS_DNS.c,2 
lib/FreeRTOS-Plus-TCP/source/FreeRTOS_IP.c,1 
lib/FreeRTOS-Plus-TCP/source/FreeRTOS_Sockets.c,2 
lib/FreeRTOS-Plus-TCP/source/FreeRTOS_Stream_Buffer.c,1 
lib/FreeRTOS-Plus-TCP/source/FreeRTOS_TCP_IP.c,4 
lib/FreeRTOS-Plus-TCP/source/FreeRTOS_TCP_WIN.c,1 
lib/FreeRTOS-Plus-TCP/source/FreeRTOS_UDP_IP.c,1 
lib/FreeRTOS-Plus-TCP/source/portable,5 
lib/FreeRTOS-Plus-TCP/source/portable/BufferManagement,1 
lib/FreeRTOS-Plus-TCP/source/portable/BufferManagement/BufferAllocation_1.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/BufferManagement/BufferAllocation_2.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface,5 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/ATSAM4E,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/ATSAM4E/NetworkInterface.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/LPC17xx,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/LPC17xx/NetworkInterface.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/LPC18xx,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/LPC18xx/NetworkInterface.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/SH2A,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/SH2A/NetworkInterface.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/STM32Fxx,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/STM32Fxx/NetworkInterface.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/WinPCap,3 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/WinPCap/NetworkInterface.c,3 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/Zynq,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/Zynq/NetworkInterface.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/Zynq/x_emacpsif_dma.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/ksz8851snl,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/ksz8851snl/NetworkInterface.c,1 
lib/FreeRTOS,7 
lib/FreeRTOS/event_groups.c,1 
lib/FreeRTOS/list.c,1 
lib/FreeRTOS/portable,1 
lib/FreeRTOS/portable/CCS,1 
lib/FreeRTOS/portable/CCS/ARM_CM3,1 
lib/FreeRTOS/portable/CCS/ARM_CM3/port.c,1 
lib/FreeRTOS/portable/CCS/ARM_CM4F,1 
lib/FreeRTOS/portable/CCS/ARM_CM4F/port.c,1 
lib/FreeRTOS/portable/CCS/ARM_Cortex-R4,1 
lib/FreeRTOS/portable/CCS/ARM_Cortex-R4/port.c,1 
lib/FreeRTOS/portable/CCS/MSP430X,1 
lib/FreeRTOS/portable/CCS/MSP430X/port.c,1 
lib/FreeRTOS/portable/Common,1 
lib/FreeRTOS/portable/Common/mpu_wrappers.c,1 
lib/FreeRTOS/portable/Compiler,1 
lib/FreeRTOS/portable/Compiler/Arch,1 
lib/FreeRTOS/portable/Compiler/Arch/port.c,1 
lib/FreeRTOS/portable/GCC,1 
lib/FreeRTOS/portable/GCC/ARM7_AT91FR40008,1 
lib/FreeRTOS/portable/GCC/ARM7_AT91FR40008/port.c,1 
lib/FreeRTOS/portable/GCC/ARM7_AT91FR40008/portISR.c,1 
lib/FreeRTOS/portable/GCC/ARM7_AT91SAM7S,1 
lib/FreeRTOS/portable/GCC/ARM7_AT91SAM7S/port.c,1 
lib/FreeRTOS/portable/GCC/ARM7_AT91SAM7S/portISR.c,1 
lib/FreeRTOS/portable/GCC/ARM7_LPC2000,1 
lib/FreeRTOS/portable/GCC/ARM7_LPC2000/port.c,1 
lib/FreeRTOS/portable/GCC/ARM7_LPC2000/portISR.c,1 
lib/FreeRTOS/portable/GCC/ARM7_LPC23xx,1 
lib/FreeRTOS/portable/GCC/ARM7_LPC23xx/port.c,1 
lib/FreeRTOS/portable/GCC/ARM7_LPC23xx/portISR.c,1 
lib/FreeRTOS/portable/GCC/ARM_CA53_64_BIT,1 
lib/FreeRTOS/portable/GCC/ARM_CA53_64_BIT/port.c,1 
lib/FreeRTOS/portable/GCC/ARM_CA9,1 
lib/FreeRTOS/portable/GCC/ARM_CA9/port.c,1 
lib/FreeRTOS/portable/GCC/ARM_CM0,2 
lib/FreeRTOS/portable/GCC/ARM_CM0/port.c,2 
lib/FreeRTOS/portable/GCC/ARM_CM3,1 
lib/FreeRTOS/portable/GCC/ARM_CM3/port.c,1 
lib/FreeRTOS/portable/GCC/ARM_CM3_MPU,1 
lib/FreeRTOS/portable/GCC/ARM_CM3_MPU/port.c,1 
lib/FreeRTOS/portable/GCC/ARM_CM4F,1 
lib/FreeRTOS/portable/GCC/ARM_CM4F/port.c,1 
lib/FreeRTOS/portable/GCC/ARM_CM4_MPU,1 
lib/FreeRTOS/portable/GCC/ARM_CM4_MPU/port.c,1 
lib/FreeRTOS/portable/GCC/ARM_CM7,1 
lib/FreeRTOS/portable/GCC/ARM_CM7/r0p1,1 
lib/FreeRTOS/portable/GCC/ARM_CM7/r0p1/port.c,1 
lib/FreeRTOS/portable/GCC/ARM_CR5,1 
lib/FreeRTOS/portable/GCC/ARM_CR5/port.c,1 
lib/FreeRTOS/portable/GCC/ARM_CRx_No_GIC,1 
lib/FreeRTOS/portable/GCC/ARM_CRx_No_GIC/port.c,1 
lib/FreeRTOS/portable/GCC/ATMega323,1 
lib/FreeRTOS/portable/GCC/ATMega323/port.c,1 
lib/FreeRTOS/portable/GCC/AVR32_UC3,1 
lib/FreeRTOS/portable/GCC/AVR32_UC3/port.c,1 
lib/FreeRTOS/portable/GCC/CORTUS_APS3,1 
lib/FreeRTOS/portable/GCC/CORTUS_APS3/port.c,1 
lib/FreeRTOS/portable/GCC/ColdFire_V2,1 
lib/FreeRTOS/portable/GCC/ColdFire_V2/port.c,1 
lib/FreeRTOS/portable/GCC/H8S2329,1 
lib/FreeRTOS/portable/GCC/H8S2329/port.c,1 
lib/FreeRTOS/portable/GCC/HCS12,1 
lib/FreeRTOS/portable/GCC/HCS12/port.c,1 
lib/FreeRTOS/portable/GCC/IA32_flat,1 
lib/FreeRTOS/portable/GCC/IA32_flat/port.c,1 
lib/FreeRTOS/portable/GCC/MSP430F449,1 
lib/FreeRTOS/portable/GCC/MSP430F449/port.c,1 
lib/FreeRTOS/portable/GCC/MicroBlaze,1 
lib/FreeRTOS/portable/GCC/MicroBlaze/port.c,1 
lib/FreeRTOS/portable/GCC/MicroBlazeV8,1 
lib/FreeRTOS/portable/GCC/MicroBlazeV8/port.c,1 
lib/FreeRTOS/portable/GCC/MicroBlazeV8/port_exceptions.c,1 
lib/FreeRTOS/portable/GCC/MicroBlazeV9,1 
lib/FreeRTOS/portable/GCC/MicroBlazeV9/port.c,1 
lib/FreeRTOS/portable/GCC/MicroBlazeV9/port_exceptions.c,1 
lib/FreeRTOS/portable/GCC/NiosII,1 
lib/FreeRTOS/portable/GCC/NiosII/port.c,1 
lib/FreeRTOS/portable/GCC/PPC405_Xilinx,1 
lib/FreeRTOS/portable/GCC/PPC405_Xilinx/port.c,1 
lib/FreeRTOS/portable/GCC/PPC440_Xilinx,1 
lib/FreeRTOS/portable/GCC/PPC440_Xilinx/port.c,1 
lib/FreeRTOS/portable/GCC/RL78,1 
lib/FreeRTOS/portable/GCC/RL78/port.c,1 
lib/FreeRTOS/portable/GCC/RX100,1 
lib/FreeRTOS/portable/GCC/RX100/port.c,1 
lib/FreeRTOS/portable/GCC/RX600,1 
lib/FreeRTOS/portable/GCC/RX600/port.c,1 
lib/FreeRTOS/portable/GCC/RX600v2,1 
lib/FreeRTOS/portable/GCC/RX600v2/port.c,1 
lib/FreeRTOS/portable/GCC/STR75x,1 
lib/FreeRTOS/portable/GCC/STR75x/port.c,1 
lib/FreeRTOS/portable/GCC/STR75x/portISR.c,1 
lib/FreeRTOS/portable/GCC/TriCore_1782,1 
lib/FreeRTOS/portable/GCC/TriCore_1782/port.c,1 
lib/FreeRTOS/portable/GCC/TriCore_1782/porttrap.c,1 
lib/FreeRTOS/portable/IAR,1 
lib/FreeRTOS/portable/IAR/78K0R,1 
lib/FreeRTOS/portable/IAR/78K0R/port.c,1 
lib/FreeRTOS/portable/IAR/ARM_CA5_No_GIC,1 
lib/FreeRTOS/portable/IAR/ARM_CA5_No_GIC/port.c,1 
lib/FreeRTOS/portable/IAR/ARM_CA9,1 
lib/FreeRTOS/portable/IAR/ARM_CA9/port.c,1 
lib/FreeRTOS/portable/IAR/ARM_CM0,1 
lib/FreeRTOS/portable/IAR/ARM_CM0/port.c,1 
lib/FreeRTOS/portable/IAR/ARM_CM3,1 
lib/FreeRTOS/portable/IAR/ARM_CM3/port.c,1 
lib/FreeRTOS/portable/IAR/ARM_CM4F,1 
lib/FreeRTOS/portable/IAR/ARM_CM4F/port.c,1 
lib/FreeRTOS/portable/IAR/ARM_CM4F_MPU,1 
lib/FreeRTOS/portable/IAR/ARM_CM4F_MPU/port.c,1 
lib/FreeRTOS/portable/IAR/ARM_CM7,1 
lib/FreeRTOS/portable/IAR/ARM_CM7/r0p1,1 
lib/FreeRTOS/portable/IAR/ARM_CM7/r0p1/port.c,1 
lib/FreeRTOS/portable/IAR/ARM_CRx_No_GIC,1 
lib/FreeRTOS/portable/IAR/ARM_CRx_No_GIC/port.c,1 
lib/FreeRTOS/portable/IAR/ATMega323,1 
lib/FreeRTOS/portable/IAR/ATMega323/port.c,1 
lib/FreeRTOS/portable/IAR/AVR32_UC3,1 
lib/FreeRTOS/portable/IAR/AVR32_UC3/port.c,1 
lib/FreeRTOS/portable/IAR/AtmelSAM7S64,1 
lib/FreeRTOS/portable/IAR/AtmelSAM7S64/port.c,1 
lib/FreeRTOS/portable/IAR/AtmelSAM9XE,1 
lib/FreeRTOS/portable/IAR/AtmelSAM9XE/port.c,1 
lib/FreeRTOS/portable/IAR/LPC2000,1 
lib/FreeRTOS/portable/IAR/LPC2000/port.c,1 
lib/FreeRTOS/portable/IAR/MSP430,1 
lib/FreeRTOS/portable/IAR/MSP430/port.c,1 
lib/FreeRTOS/portable/IAR/MSP430X,1 
lib/FreeRTOS/portable/IAR/MSP430X/port.c,1 
lib/FreeRTOS/portable/IAR/RL78,1 
lib/FreeRTOS/portable/IAR/RL78/port.c,1 
lib/FreeRTOS/portable/IAR/RX100,1 
lib/FreeRTOS/portable/IAR/RX100/port.c,1 
lib/FreeRTOS/portable/IAR/RX600,1 
lib/FreeRTOS/portable/IAR/RX600/port.c,1 
lib/FreeRTOS/portable/IAR/RXv2,1 
lib/FreeRTOS/portable/IAR/RXv2/port.c,1 
lib/FreeRTOS/portable/IAR/STR71x,1 
lib/FreeRTOS/portable/IAR/STR71x/port.c,1 
lib/FreeRTOS/portable/IAR/STR75x,1 
lib/FreeRTOS/portable/IAR/STR75x/port.c,1 
lib/FreeRTOS/portable/IAR/STR91x,1 
lib/FreeRTOS/portable/IAR/STR91x/port.c,1 
lib/FreeRTOS/portable/IAR/V850ES,1 
lib/FreeRTOS/portable/IAR/V850ES/port.c,1 
lib/FreeRTOS/portable/MPLAB,1 
lib/FreeRTOS/portable/MPLAB/PIC18F,1 
lib/FreeRTOS/portable/MPLAB/PIC18F/port.c,1 
lib/FreeRTOS/portable/MPLAB/PIC24_dsPIC,1 
lib/FreeRTOS/portable/MPLAB/PIC24_dsPIC/port.c,1 
lib/FreeRTOS/portable/MPLAB/PIC32MEC14xx,1 
lib/FreeRTOS/portable/MPLAB/PIC32MEC14xx/port.c,1 
lib/FreeRTOS/portable/MPLAB/PIC32MX,1 
lib/FreeRTOS/portable/MPLAB/PIC32MX/port.c,1 
lib/FreeRTOS/portable/MPLAB/PIC32MZ,1 
lib/FreeRTOS/portable/MPLAB/PIC32MZ/port.c,1 
lib/FreeRTOS/portable/MSVC-MingW,1 
lib/FreeRTOS/portable/MSVC-MingW/port.c,1 
lib/FreeRTOS/portable/MemMang,1 
lib/FreeRTOS/portable/MemMang/heap_1.c,1 
lib/FreeRTOS/portable/MemMang/heap_2.c,1 
lib/FreeRTOS/portable/MemMang/heap_3.c,1 
lib/FreeRTOS/portable/MemMang/heap_4.c,1 
lib/FreeRTOS/portable/MemMang/heap_5.c,1 
lib/FreeRTOS/portable/MikroC,1 
lib/FreeRTOS/portable/MikroC/ARM_CM4F,1 
lib/FreeRTOS/portable/MikroC/ARM_CM4F/port.c,1 
lib/FreeRTOS/portable/Paradigm,1 
lib/FreeRTOS/portable/Paradigm/Tern_EE,1 
lib/FreeRTOS/portable/Paradigm/Tern_EE/large_untested,1 
lib/FreeRTOS/portable/Paradigm/Tern_EE/large_untested/port.c,1 
lib/FreeRTOS/portable/Paradigm/Tern_EE/small,1 
lib/FreeRTOS/portable/Paradigm/Tern_EE/small/port.c,1 
lib/FreeRTOS/portable/RVDS,2 
lib/FreeRTOS/portable/RVDS/ARM7_LPC21xx,1 
lib/FreeRTOS/portable/RVDS/ARM7_LPC21xx/port.c,1 
lib/FreeRTOS/portable/RVDS/ARM_CA9,1 
lib/FreeRTOS/portable/RVDS/ARM_CA9/port.c,1 
lib/FreeRTOS/portable/RVDS/ARM_CM0,2 
lib/FreeRTOS/portable/RVDS/ARM_CM0/port.c,2 
lib/FreeRTOS/portable/RVDS/ARM_CM3,1 
lib/FreeRTOS/portable/RVDS/ARM_CM3/port.c,1 
lib/FreeRTOS/portable/RVDS/ARM_CM4F,1 
lib/FreeRTOS/portable/RVDS/ARM_CM4F/port.c,1 
lib/FreeRTOS/portable/RVDS/ARM_CM4_MPU,1 
lib/FreeRTOS/portable/RVDS/ARM_CM4_MPU/port.c,1 
lib/FreeRTOS/portable/RVDS/ARM_CM7,1 
lib/FreeRTOS/portable/RVDS/ARM_CM7/r0p1,1 
lib/FreeRTOS/portable/RVDS/ARM_CM7/r0p1/port.c,1 
lib/FreeRTOS/portable/Renesas,1 
lib/FreeRTOS/portable/Renesas/RX100,1 
lib/FreeRTOS/portable/Renesas/RX100/port.c,1 
lib/FreeRTOS/portable/Renesas/RX200,1 
lib/FreeRTOS/portable/Renesas/RX200/port.c,1 
lib/FreeRTOS/portable/Renesas/RX600,1 
lib/FreeRTOS/portable/Renesas/RX600/port.c,1 
lib/FreeRTOS/portable/Renesas/RX600v2,1 
lib/FreeRTOS/portable/Renesas/RX600v2/port.c,1 
lib/FreeRTOS/portable/Renesas/SH2A_FPU,1 
lib/FreeRTOS/portable/Renesas/SH2A_FPU/port.c,1 
lib/FreeRTOS/portable/Rowley,1 
lib/FreeRTOS/portable/Rowley/MSP430F449,1 
lib/FreeRTOS/portable/Rowley/MSP430F449/port.c,1 
lib/FreeRTOS/portable/Softune,1 
lib/FreeRTOS/portable/Softune/MB91460,1 
lib/FreeRTOS/portable/Softune/MB91460/port.c,1 
lib/FreeRTOS/portable/Softune/MB96340,1 
lib/FreeRTOS/portable/Softune/MB96340/port.c,1 
lib/FreeRTOS/portable/Tasking,1 
lib/FreeRTOS/portable/Tasking/ARM_CM4F,1 
lib/FreeRTOS/portable/Tasking/ARM_CM4F/port.c,1 
lib/FreeRTOS/queue.c,1 
lib/FreeRTOS/stream_buffer.c,1 
lib/FreeRTOS/tasks.c,1 
lib/FreeRTOS/timers.c,1 
lib/crypto,2 
lib/crypto/aws_crypto.c,2 
lib/greengrass,3 
lib/greengrass/aws_greengrass_discovery.c,3 
lib/greengrass/aws_helper_secure_connect.c,2 
lib/mqtt,6 
lib/mqtt/aws_mqtt_agent.c,2 
lib/mqtt/aws_mqtt_lib.c,1 
lib/shadow,5 
lib/shadow/aws_shadow_json.c,2 
lib/tls,2 
lib/tls/aws_tls.c,2 
lib/ota,5 
lib/ota/aws_ota_agent.c,1 
lib/ota/aws_ota_cbor.c,1 
lib/ota/portable,3 
lib/ota/portable/pc,1 
lib/ota/portable/pc/windows,1 
lib/ota/portable/pc/windows/aws_ota_pal.c,1 
lib/ota/portable/ti,1 
lib/ota/portable/ti/cc3220_launchpad,1 
lib/ota/portable/ti/cc3220_launchpad/aws_ota_pal.c,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/board_family,1 
lib/FreeRTOS-Plus-TCP/source/portable/NetworkInterface/board_family/NetworkInterface.c,1 
lib/pkcs11,5 
lib/secure_sockets,7 
lib/secure_sockets/portable,4 
lib/wifi,4 
lib/wifi/portable,4 
lib/wifi/portable/nxp,1 
lib/cbor,2 
lib/cbor/src,2 
lib/cbor/src/aws_cbor_alloc.c,2 
lib/cbor/src/aws_cbor_print.c,2 
lib/cbor/test,2 
lib/cbor/test/test_aws_cbor_map.c,2 
lib/third_party,3 
lib/third_party/mcu_vendor,3 
lib/defender,4 
lib/pkcs11/portable,5 
lib/pkcs11/portable/pc,2 
lib/pkcs11/portable/pc/windows,2 
lib/FreeRTOS/portable/ThirdParty,3 
lib/FreeRTOS/portable/ThirdParty/XCC,2 
lib/FreeRTOS/portable/ThirdParty/XCC/Xtensa,2 
lib/FreeRTOS/portable/ThirdParty/XCC/Xtensa/port.c,2 
lib/FreeRTOS/portable/ThirdParty/XCC/Xtensa/portclib.c,1 
lib/FreeRTOS/portable/ThirdParty/XCC/Xtensa/xtensa_init.c,1 
lib/FreeRTOS/portable/ThirdParty/XCC/Xtensa/xtensa_intr.c,1 
lib/FreeRTOS/portable/ThirdParty/XCC/Xtensa/xtensa_overlay_os_hook.c,1 
tests/common,6 
tests/common/defender,5 
tests/common/defender/aws_test_defender.c,1 
tests/common/ota,2 
tests/common/ota/aws_test_ota_cbor.c,1 
tests/common/test_runner,4 
tests/common/test_runner/aws_test_runner.c,3 
tests/common/tls,1 
tests/common/tls/aws_test_tls.c,1 
tests/common/secure_sockets,3 
tests/common/secure_sockets/aws_test_tcp.c,3 
tests/common/greengrass,1 
tests/common/greengrass/aws_test_greengrass_discovery.c,1 
tests/common/pkcs11,1 
tests/common/pkcs11/aws_test_pkcs11.c,1 
tests/common/freertos_tcp,1 
tests/common/freertos_tcp/aws_test_freertos_tcp.c,1 
demos/mediatek,1 
demos/mediatek/mt7697hx-dev-kit,1 
demos/mediatek/mt7697hx-dev-kit/common,1 
demos/mediatek/mt7697hx-dev-kit/common/application_code,1 
demos/mediatek/mt7697hx-dev-kit/common/application_code/main.c,1 
demos/https,2 
demos/https/iot_demo_https_s3_download_sync.c,2 
demos/https/iot_demo_https_s3_download_async.c,2 
demos/https/iot_demo_https_common.c,2 
libraries,3 
libraries/c_sdk,2 
libraries/c_sdk/standard,2 
libraries/c_sdk/standard/https,2 
libraries/c_sdk/standard/https/src,2 
libraries/c_sdk/standard/https/src/iot_https_client.c,2 
libraries/c_sdk/standard/https/test,2 
libraries/c_sdk/standard/https/test/unit,2 
libraries/c_sdk/standard/https/test/unit/iot_tests_https_async.c,2 
libraries/c_sdk/standard/https/test/unit/iot_tests_https_client.c,2 
libraries/c_sdk/standard/https/test/unit/iot_tests_https_common.c,2 
libraries/c_sdk/standard/https/test/unit/iot_tests_https_sync.c,2 
libraries/c_sdk/standard/https/test/system,2 
libraries/c_sdk/standard/https/test/system/iot_tests_https_system.c,2 
tests/common/mqtt,5 
tests/common/wifi,5 
tests/common/wifi/aws_test_wifi.c,2 
tools/cbmc,4 
tools/cbmc/proofs,4 
tools/cbmc/proofs/HTTP,4 
libraries/abstractions/wifi,2 
libraries/abstractions/wifi/test,2 
libraries/abstractions/wifi/test/aws_test_wifi.c,1 
demos/defender,2 
demos/tcp,2 
libraries/3r,1 
libraries/3rdparty,1 
libraries/c_sdk/aws,2 
libraries/freerto,2 
modules/libraries,1 
modules/libraries/aws,1 
modules/libraries/standard,2 
modules/libraries/standard/mqtt,2 
modules/libraries/standard/mqtt/test,2 
modules/ports,1 
modules/ports/wifi,1 
vendors/nordic,1 
vendors/nordic/boards,3 
vendors/nordic/boards/nrf52840-dk,3 
vendors/nordic/boards/nrf52840-dk/aws_demos,2 
vendors/nordic/boards/nrf52840-dk/aws_tests,2 
vendors/nordic/nRF5_SDK_15.2.0,1 
vendors/nxp,1 
vendors/st,2 
vendors/cypress/boards/CYW943907AEVAL1F,4 
vendors/cypress/boards/CYW943907AEVAL1F/ports,3 
vendors/cypress/boards/CYW954907AEVAL1F,4 
vendors/cypress/boards/CYW954907AEVAL1F/ports,3 
vendors/microchip/boards/curiosity_pic32mzef/ports,3 
vendors/microchip/boards/curiosity_pic32mzef/ports/wifi,2 
vendors/nxp/boards,2 
vendors/nxp/boards/lpc54018iotmodule,2 
vendors/nxp/boards/lpc54018iotmodule/ports,4 
vendors/ti/boards/cc3220_launchpad/ports,3 
vendors/vendor,4 
vendors/vendor/boards,4 
vendors/vendor/boards/board,4 
vendors/vendor/boards/board/ports,4 
vendors/infineon/boards,2 
vendors/infineon/boards/xmc4800_iotkit,2 
vendors/mediatek/boards,2 
vendors/mediatek/boards/mt7697hx-dev-kit,2 
vendors/mediatek/boards/mt7697hx-dev-kit/aws_demos,3 
vendors/mediatek/boards/mt7697hx-dev-kit/aws_tests,2 
vendors/nxp/boards/lpc54018iotmodule/aws_demos,2 
vendors/st/boards,2 
vendors/marvell/boards,6 
vendors/cypress/boards/CYW943907AEVAL1F/ports/wifi,2 
vendors/cypress/boards/CYW954907AEVAL1F/ports/wifi,2 
vendors/infineon/boards/xmc4800_iotkit/ports,3 
vendors/infineon/boards/xmc4800_iotkit/ports/secure_sockets,2 
vendors/infineon/boards/xmc4800_iotkit/ports/wifi,2 
vendors/mediatek/boards/mt7697hx-dev-kit/ports,4 
vendors/mediatek/boards/mt7697hx-dev-kit/ports/wifi,3 
vendors/nxp/boards/lpc54018iotmodule/ports/secure_sockets,2 
vendors/nxp/boards/lpc54018iotmodule/ports/wifi,2 
vendors/st/boards/stm32l475_discovery/ports,4 
vendors/st/boards/stm32l475_discovery/ports/secure_sockets,2 
vendors/st/boards/stm32l475_discovery/ports/wifi,2 
vendors/ti/boards/cc3220_launchpad/ports/secure_sockets,2 
vendors/vendor/boards/board/ports/secure_sockets,2 
libraries/freertos_plus,2 
libraries/freertos_plus/aws,4 
libraries/freertos_plus/aws/ota,3 
libraries/freertos_plus/aws/ota/src,2 
libraries/freertos_plus/aws/ota/src/aws_iot_ota_agent.c,2 
libraries/freertos_plus/aws/ota/test,2 
libraries/freertos_plus/aws/ota/test/aws_test_ota_agent.c,2 
libraries/freertos_plus/aws/ota/test/aws_test_ota_cbor.c,2 
libraries/freertos_plus/aws/ota/src/mqtt,1 
libraries/freertos_plus/aws/ota/src/aws_iot_ota_interface.c,2 
libraries/freertos_plus/aws/ota/src/mqtt/aws_iot_ota_mqtt.c,1 
libraries/freertos_plus/aws/ota/src/http,1 
libraries/freertos_plus/aws/ota/src/http/aws_iot_ota_http.c,1 
lib/secure_sockets/portable/freertos_plus_tcp,2 
lib/secure_sockets/portable/freertos_plus_tcp/aws_secure_sockets.c,2 
vendors/infineon,2 
vendors/infineon/secure_elements,7 
vendors/microchip/boards/ecc608a_plus_winsim,5 
vendors/microchip/boards/ecc608a_plus_winsim/aws_demos,4 
vendors/microchip/boards/ecc608a_plus_winsim/aws_demos/application_code,4 
demos/common/defender,1 
demos/common/network_manager,3 
demos/common/network_manager/aws_iot_network_manager.c,3 
demos/nordic,6 
demos/nordic/nrf52840-dk,6 
demos/nordic/nrf52840-dk/common,4 
demos/nordic/nrf52840-dk/common/application_code,4 
demos/nordic/nrf52840-dk/common/application_code/main.c,4 
demos/common/ota/aws_iot_ota_update_demo.c,2 
