Arquivo,Descrição
apps/er-coap,3 
platform/redbee-econotag,1 
platform/redbee-econotag/contiki-mc1322x-main.c,1 
cpu/cc2430,4 
cpu/mc1322x,2 
cpu/mc1322x/contiki-maca.c,1 
cpu/mc1322x/lib,4 
cpu/mc1322x/lib/maca.c,2 
platform/micaz/contiki-micaz-main.c,1 
cpu/cc2430/dev,2 
apps/rest-common,1 
arch/cpu,5 
arch/cpu/cc2538,4 
arch/cpu/cc2538/dev,5 
arch/cpu/cc26xx-cc13xx,2 
arch/dev,3 
arch/platform,4 
arch/platform/cooja,2 
arch/platform/cooja/dev,2 
arch/platform/jn516x,2 
arch/platform/jn516x/dev,1 
arch/platform/srf06-cc26xx,3 
arch/platform/srf06-cc26xx/launchpad,3 
arch/platform/zoul,2 
arch/platform/zoul/dev,2 
arch/cpu/native,3 
arch/cpu/native/net,2 
arch/platform/sky,3 
arch/platform/native,3 
os/lib/heapmem.c,1 
os/net,4 
os/net/ipv6,4 
os/net/ipv6/sicslowpan.c,2 
os/sys,5 
os/sys/process.c,1 
os/net/routing,2 
os/net/routing/rpl-classic,2 
os/net/routing/rpl-classic/rpl-icmp6.c,1 
core/net/rpl/rpl-of-etx.c,1 
core/net/mac/nullrdc.c,3 
core/net/rpl/rpl-dag.c,2 
core/net/ip,3 
core/net/ip/resolv.c,1 
core/net/ipv4,2 
apps/servreg-hack,1 
apps/servreg-hack/servreg-hack.c,1 
apps/webserver-nano,2 
platform/sensinode,2 
platform/z1,3 
platform/z1/contiki-z1-main.c,1 
platform/mb851,2 
platform/mbxxx,5 
platform/mbxxx/dev,4 
platform/avr-atmega128rfa1,2 
platform/avr-atmega128rfa1/apps,2 
platform/avr-atmega128rfa1/apps/raven-webserver,2 
platform/wismote,4 
platform/wismote/contiki-wismote-main.c,3 
platform/exp5438,3 
platform/exp5438/contiki-exp5438-main.c,1 
tools/stm32w,1 
tools/stm32w/uip6_bridge,1 
examples/rime/example-rucb.c,1 
examples/rime/example-rudolph2.c,1 
examples/sky-shell-exec,1 
examples/sky-shell-exec/sky-shell-exec.c,1 
examples/ipv6,3 
examples/ipv6/rpl-collect,1 
examples/ipv6/rpl-collect/udp-sender.c,1 
examples/ipv6/slip-radio,3 
examples/cc2530dk,3 
examples/sensinode,2 
cpu/arm/at91sam7s/loader,1 
cpu/stm32w108,2 
cpu/stm32w108/clock.c,1 
core/dev/sht11.c,1 
core/net/rpl/rpl-mrhof.c,2 
core/net/ipv6,3 
core/net/ipv6/uip-ds6-route.c,2 
core/net/ipv6/uip-nd6.c,2 
platform/z1/dev,3 
examples/ipso-objects,3 
examples/rpl-udp,3 
examples/rpl-udp/udp-client.c,2 
arch/cpu/nrf52840,3 
os/net/mac/csma,2 
os/services,5 
os/net/app-layer,5 
os/net/app-layer/coap,3 
os/services/lwm2m,4 
os/services/lwm2m/lwm2m-engine.c,3 
apps/rest-http,1 
examples/ipv6/native-border-router,2 
examples/platform-specific/cc26xx,3 
examples/platform-specific/cc26xx/cc26xx-web-demo,2 
cpu/msp430/f1xxx,1 
cpu/msp430/f2xxx,1 
os/lib,6 
os/net/app-layer/coap/coap-engine.c,1 
os/net/app-layer/coap/coap-observe.c,1 
os/net/app-layer/coap/coap.c,2 
os/services/lwm2m/lwm2m-rd-client.c,2 
os/net/app-layer/coap/coap-callback-api.c,1 
apps/webserver-nano/httpd-cgi.c,1 
cpu/stm32w108/dev,1 
core/net/resolv.c,2 
apps/webbrowser/htmlparser.c,1 
apps/webbrowser/www.c,1 
examples/wget,1 
examples/wget/wget.c,1 
apps/er-coap/er-coap-engine.c,1 
apps/er-coap/er-coap-observe.c,1 
apps/er-coap/er-coap.c,1 
examples/er-rest-example,2 
examples/er-rest-example/er-example-server.c,1 
core/net/ipv6/multicast,2 
core/net/ipv6/multicast/roll-tm.c,1 
platform/sensinode/contiki-sensinode-main.c,1 
platform/cc2530dk,2 
platform/cc2530dk/contiki-main.c,1 
platform/cc2538dk,3 
platform/cc2538dk/contiki-main.c,2 
platform/srf06-cc26xx,1 
platform/srf06-cc26xx/contiki-main.c,1 
platform/srf06-cc26xx/sensortag,1 
platform/srf06-cc26xx/sensortag/board-i2c.c,1 
tools/serial-io,1 
tools/serial-io/tunslip6.c,1 
examples/cc2530dk/border-router,1 
examples/sensinode/border-router,1 
examples/slip-radio,1 
examples/slip-radio/slip-radio.c,1 
examples/multicast,2 
cpu/cc2430/dev/cc2430_rf.c,1 
cpu/cc2538,2 
cpu/cc2538/dev,2 
cpu/cc2538/dev/cc2538-rf.c,2 
cpu/cc26xx-cc13xx,2 
cpu/cc26xx-cc13xx/rf-core,3 
cpu/cc26xx-cc13xx/rf-core/ieee-mode.c,2 
cpu/cc26xx-cc13xx/rf-core/prop-mode.c,1 
cpu/cc26xx-cc13xx/rf-core/rf-core.c,1 
arch/cpu/cc2538/soc.c,1 
arch/platform/zoul/dev/mmc-arch.c,1 
arch/platform/native/platform.c,1 
arch/cpu/simplelink-cc13xx-cc26xx/dev,2 
arch/cpu/cc26x0-cc13x0,4 
arch/cpu/cc26x0-cc13x0/rf-core,3 
arch/cpu/cc26x0-cc13x0/rf-core/prop-mode.c,2 
os/contiki-main.c,2 
platform/avr-rss2,2 
tools/sky,2 
core/net/rpl/rpl-icmp6.c,1 
core/net/rpl/rpl-timers.c,1 
core/net/rpl/rpl-of0.c,1 
core/net/rpl/rpl-ext-header.c,1 
core/net/ip/tcpip.c,1 
core/net/ipv6/sicslowpan.c,1 
core/net/ipv6/uip-ds6-nbr.c,1 
core/net/ipv6/uip-ds6.c,1 
core/net/ipv6/uip-icmp6.c,1 
core/net/ipv6/uip6.c,1 
core/net/mac/tsch,2 
core/net/mac/tsch/tsch-slot-operation.c,1 
platform/mbxxx/contiki-main.c,1 
tools/sky/uip6-bridge,1 
tools/sky/uip6-bridge/fakeuip.c,1 
tools/sky/uip6-bridge/sicslow_ethernet.c,1 
tools/tunslip6.c,1 
tools/sky/uip6-bridge/dev,1 
tools/sky/uip6-bridge/dev/slip.c,1 
tools/viewconf,1 
examples/ipv6/slip-radio/slip-radio.c,1 
examples/ipv6/slip-radio/no-framer.c,1 
examples/ipv6/rpl-tsch,1 
examples/ipv6/rpl-tsch/node.c,1 
examples/platform-specific,3 
examples/platform-specific/cc26xx/very-sleepy-demo,1 
examples/platform-specific/cc26xx/very-sleepy-demo/very-sleepy-demo.c,1 
examples/multicast/root.c,1 
examples/6tisch,4 
examples/6tisch/sixtop,1 
examples/6tisch/etsi-plugtest-2017,1 
examples/lwm2m-ipso-objects,1 
arch/cpu/cc2538/dev/cc2538-rf.c,2 
arch/dev/cc2420,1 
arch/platform/sky/platform.c,1 
os/net/ipv6/multicast,2 
os/net/ipv6/multicast/esmrf.c,1 
os/net/ipv6/uip-ds6-route.c,1 
os/net/ipv6/uip-icmp6.c,1 
os/net/ipv6/uip-nd6.c,1 
os/net/ipv6/uip6.c,1 
os/net/mac,3 
os/net/mac/csma/csma-output.c,1 
os/net/mac/tsch,3 
os/net/mac/tsch/tsch-adaptive-timesync.c,1 
os/net/mac/tsch/tsch-packet.c,1 
os/net/mac/tsch/tsch-schedule.c,2 
os/net/mac/tsch/tsch-slot-operation.c,2 
os/net/mac/tsch/tsch.c,2 
os/net/nbr-table.c,1 
os/sys/log.c,1 
os/services/shell,1 
os/services/shell/shell-commands.c,1 
os/net/ipv6/tcpip.c,1 
os/services/ip64,1 
os/net/routing/rpl-classic/rpl-dag.c,1 
os/net/routing/rpl-lite,1 
os/net/routing/rpl-lite/rpl-dag.c,1 
os/net/routing/rpl-lite/rpl-neighbor.c,1 
os/net/routing/rpl-lite/rpl.c,1 
examples/mbxxx,2 
arch/cpu/simplelink-cc13xx-cc26xx,2 
arch/cpu/simplelink-cc13xx-cc26xx/rf,2 
arch/cpu/simplelink-cc13xx-cc26xx/rf/ieee-mode.c,2 
arch/cpu/simplelink-cc13xx-cc26xx/rf/prop-mode.c,1 
arch/cpu/simplelink-cc13xx-cc26xx/rf/sched.c,1 
core/net/packetbuf.c,1 
core/net/mac/contikimac/contikimac.c,1 
core/net/llsec,1 
core/net/llsec/noncoresec,1 
core/net/llsec/noncoresec/noncoresec.c,1 
dev/cc2420,1 
dev/cc2420/cc2420.c,1 
os/net/ipv6/uip-ds6.c,1 
platform/avr-rss2/contiki-main.c,1 
examples/mqtt-client,5 
os/net/mac/framer,2 
os/net/mac/framer/framer-802154.c,1 
examples/mqtt-client/mqtt-client.c,1 
os/net/app-layer/mqtt,1 
os/net/app-layer/mqtt/mqtt.c,1 
arch/cpu/native/net/tun6-net.c,1 
os/lib/list.c,1 
